OrderID,OrderDate,ShipDate,OrderStatus,CustomerID,Segment,Region,Country,City,Channel,Category,Subcategory,ProductName,Quantity,UnitPrice,UnitCost,Discount,SalesAmount,CostAmount,Profit
ORD100000,2023-04-13,2023-04-15,Completed,CUST10299,Consumer,Central,Brazil,Brasília,Online,Office Supplies,Writing,Pen Pack,2,9.98,4.57,0.0,19.96,9.14,10.82
ORD100001,2024-03-11,2024-03-15,Completed,CUST10318,Consumer,North,Canada,Vancouver,Online,Office Supplies,Printer,Laser Printer,1,223.47,114.79,0.1,201.12,114.79,86.33
ORD100002,2025-05-10,2025-05-18,Completed,CUST11894,Corporate,South,India,Bengaluru,Retail,Electronics,Smartphone,Phone B,2,494.47,321.22,0.0,988.94,642.44,346.5
ORD100003,2023-09-28,2023-10-07,Completed,CUST12184,Consumer,West,Germany,Berlin,Partner,Furniture,Desk,Standing Desk,5,409.69,225.46,0.0,2048.45,1127.3,921.15
ORD100004,2023-04-17,2023-04-18,Completed,CUST12809,Consumer,West,UK,London,Online,Electronics,Laptop,Laptop B,3,926.61,622.17,0.0,2779.83,1866.51,913.32
ORD100005,2023-03-13,2023-03-22,Completed,CUST12739 ,Consumer,South,India,Delhi,Online,Office Supplies,Printer,Laser Printer,2,242.24,107.91,0.0,484.48,215.82,268.66
ORD100006,2024-12-01,2024-12-03,Completed,CUST11196,Consumer,West,Germany,Munich,Online,Accessories,Charger,Fast Charger,1,27.8,17.04,0.0,27.8,17.04,10.76
ORD100007,2023-01-21,2023-01-23,Completed,CUST11172,Consumer,East,China,Shanghai,Retail,Electronics,Smartphone,Phone B,1,509.11,352.55,0.1,458.2,352.55,105.65
ORD100008,2024-09-06,2024-09-07,Completed,CUST12966,Home Office,South,Australia,Melbourne,Retail,Accessories,Charger,Fast Charger,2,29.82,17.63,0.0,59.64,35.26,24.38
ORD100009,2023-05-02,2023-05-10,Completed,CUST12443,Corporate,West,UK,London,Retail,Furniture,Desk,STANDING DESK,4,378.97,224.31,0.0,1515.88,897.24,618.64
ORD100010,2024-04-11,2024-04-14,Completed,CUST11422,Consumer,South,India,Mumbai,Online,Accessories,Charger,Fast Charger,4,27.09,16.41,0.05,102.94,65.64,37.3
ORD100011,2023-08-03,2023-08-12,Completed,CUST12965,Consumer,West,UK,London,Retail,Electronics,Audio,Headphones A,1,218.29,147.54,0.0,218.29,147.54,70.75
ORD100012,2023-11-27,2023-11-29,Completed,CUST11561,Consumer,West,UK,Manchester,Online,Electronics,Smartphone,Phone A,1,705.02,481.82,0.0,705.02,481.82,223.2
ORD100013,2024-04-03,2024-04-08,Completed,CUST11385,Consumer,South,India,Mumbai,Online,Electronics,Audio,Headphones A,1,162.83,112.84,0.0,162.83,112.84,49.99
ORD100014,2023-03-29,2023-04-05,Completed,CUST10762,Consumer,North,Canada,Toronto,Online,Accessories,Phone Case,Case A,1,20.85,13.22,0.0,20.85,13.22,7.63
ORD100015,2024-01-08,2024-01-15,Completed,CUST10296,Consumer,West,UK,Manchester,Online,Accessories,Phone Case,Case A,4,18.09,11.61,0.0,72.36,46.44,25.92
ORD100016,2023-04-10,2023-04-14,Completed,CUST11411,Consumer,South,India,Delhi,Retail,Electronics,Laptop,Laptop A,1,1205.4,790.22,0.0,1205.4,790.22,415.18
ORD100017,2025-05-21,2025-05-23,Completed,CUST11862,Corporate,South,Australia,Brisbane,Retail,Furniture,Desk,Standing Desk,1,410.97,218.09,0.0,410.97,218.09,192.88
ORD100018,2024-10-25,2024-10-31,Completed,CUST11402,Corporate,North,Canada,Toronto,Online,Furniture,Chair,Ergonomic Chair,3,219.45,121.31,0.0,658.35,363.93,294.42
ORD100019,2023-05-11,2023-05-17,Completed,CUST12022,Corporate,West,UK,Manchester,Online,Furniture,Storage,Bookshelf,1,145.56,75.75,0.0,145.56,75.75,69.81
ORD100020,2024-10-23,2024-11-01,Cancelled,CUST12839,Consumer,South,Australia,Sydney,Online,Accessories,Charger,Fast Charger,2,32.06,18.92,0.0,0.0,37.84,0.0
ORD100021,2023-11-05,2023-11-10,Cancelled,CUST12270,Consumer,South,Australia,Sydney,Online,Electronics,Audio,Headphones A,1,216.34,136.46,0.05,0.0,136.46,0.0
ORD100022,2025-02-08,2025-02-17,Completed,CUST10411,Consumer,Central,Brazil,São Paulo,Online,Electronics,Smartphone,Phone B,1,487.41,293.15,0.0,487.41,293.15,194.26
ORD100023,2023-12-10,2023-12-16,Completed,CUST11452,Consumer,North,USA,New York,Online,Office Supplies,Writing,Pen Pack,1,9.52,4.48,0.0,9.52,4.48,5.04
ORD100024,2024-05-06,2024-05-14,Completed,CUST12734,Consumer,North,Canada,Vancouver,Online,Office Supplies,Printer,Laser Printer,2,265.88,127.63,0.0,531.76,255.26,276.5
ORD100025,2024-02-18,2024-02-22,Completed,CUST10940,Consumer,East,China,Shenzhen,Online,Furniture,Storage,Bookshelf,3,158.49,83.99,0.0,475.47,251.97,223.5
ORD100026,2025-03-16,2025-03-25,Completed,CUST12640,Consumer,West,UK,London,Online,Furniture,Chair,Ergonomic Chair,2,226.17,128.37,0.0,452.34,256.74,195.6
ORD100027,2024-01-21,2024-01-29,Completed,CUST10956,Consumer,East,China,Shenzhen,Online,Accessories,Charger,Fast Charger,2,32.81,22.3,0.0,65.62,44.6,21.02
ORD100028,2023-07-11,2023-07-13,Completed,CUST12578,Consumer,South,India,Mumbai,Partner,Office Supplies,Paper,Copy Paper (500),4,27.92,13.31,0.0,111.68,53.24,58.44
ORD100029,2023-10-04,2023-10-08,Completed,CUST12535,Home Office,South,Australia,Brisbane,Online,Furniture,Desk,Standing Desk,1,402.49,210.01,0.0,402.49,210.01,192.48
ORD100030,2023-06-10,2023-06-17,Completed,CUST12858,Consumer,North,USA,Los Angeles,Online,Office Supplies,Writing,Pen Pack,4,8.75,4.11,0.05,33.25,16.44,16.81
ORD100031,2024-04-04,2024-04-06,Completed,CUST12072,Consumer,South,Australia,Sydney,Online,Furniture,Desk,Standing Desk,1,406.33,221.57,0.05,386.01,221.57,164.44
ORD100032,2023-11-10,2023-11-17,Completed,CUST12156,Consumer,West,Germany,Berlin,Retail,Electronics,Laptop,Laptop A,1,1116.1,757.1,0.0,1116.1,757.1,359.0
ORD100033,2023-01-22,2023-01-28,Completed,CUST12051,Consumer,East,Japan,Nagoya,Online,Furniture,Chair,Ergonomic Chair,1,244.52,150.04,0.1,220.07,150.04,70.03
ORD100034,2023-09-10,2023-09-16,Completed,CUST10544,Consumer,Central,Brazil,Rio de Janeiro,Online,Office Supplies,Printer,Laser Printer,1,252.64,113.3,0.0,252.64,113.3,139.34
ORD100035,2025-01-17,2025-01-25,Completed,CUST10161,Consumer,North,Canada,Toronto,Retail,Accessories,Charger,Fast Charger,5,31.84,20.45,0.1,143.28,102.25,41.03
ORD100036,2025-05-06,2025-05-15,Completed,CUST10862 ,Home Office,South,Australia,Brisbane,Partner,Office Supplies,Printer,Laser Printer,1,270.99,117.36,0.0,270.99,117.36,153.63
ORD100037,2024-07-14,2024-07-17,Completed,CUST12862,Corporate,West,UK,Manchester,Retail,Furniture,Desk,Standing Desk,1,435.85,233.94,0.0,435.85,233.94,201.91
ORD100038,2024-04-19,2024-04-20,Completed,CUST12392,Consumer,South,India,Delhi,Online,Electronics,Smartphone,Phone B,2,533.68,312.62,0.0,1067.36,625.24,442.12
ORD100039,2023-02-28,2023-03-03,Completed,CUST12963,Consumer,South,India,Bengaluru,Online,Electronics,Laptop,Laptop A,1,1376.13,967.19,0.0,1376.13,967.19,408.94
ORD100040,2024-05-25,2024-06-03,Completed,CUST11334,Consumer,North,Canada,Vancouver,Online,Electronics,Laptop,Laptop B,4,878.13,523.4,0.0,3512.52,2093.6,1418.92
ORD100041,2024-11-12,2024-11-14,Completed,CUST12154,Consumer,Central,Mexico,Mexico City,Online,Office Supplies,Paper,Copy Paper (500),5,28.63,12.15,0.0,143.15,60.75,82.4
ORD100042,2024-04-20,2024-04-27,Completed,CUST10138,Corporate,North,USA,Los Angeles,Retail,Furniture,Chair,Ergonomic Chair,1,245.04,136.3,0.0,245.04,136.3,108.74
ORD100043,2024-11-30,2024-12-04,Completed,CUST10762,Home Office,Central,Brazil,Rio de Janeiro,Retail,Electronics,Smartphone,Phone A,1,695.58,498.47,0.0,695.58,498.47,197.11
ORD100044,2025-02-21,2025-02-24,Completed,CUST10130,Corporate,South,India,Mumbai,Online,Office Supplies,Writing,Pen Pack,1,7.97,3.25,0.0,7.97,3.25,4.72
ORD100045,2023-07-09,2023-07-13,Completed,CUST11026,Consumer,Central,Brazil,São Paulo,Partner,Electronics,Audio,Headphones A,2,203.21,134.53,0.0,406.42,269.06,137.36
ORD100046,2024-11-17,2024-11-22,Cancelled,CUST12144,Corporate,North,Canada,Vancouver,Online,Accessories,Charger,Fast Charger,1,30.15,16.8,0.0,0.0,16.8,0.0
ORD100047,2024-07-16,2024-07-24,Completed,CUST12052,Home Office,East,China,Shenzhen,Online,Accessories,Phone Case,Case A,2,18.61,12.1,0.0,37.22,24.2,13.02
ORD100048,2025-05-25,2025-05-26,Completed,CUST10790,Consumer,West,Germany,Berlin,Online,Furniture,Desk,Standing Desk,3,342.91,190.21,0.0,1028.73,570.63,458.1
ORD100049,2024-07-20,2024-07-28,Completed,CUST10322,Consumer,East,Japan,Tokyo,Online,Office Supplies,Writing,Pen Pack,1,9.02,4.37,0.0,9.02,4.37,4.65
ORD100050,2023-09-01,2023-09-07,Completed,CUST12532,Consumer,East,China,Shenzhen,Online,Office Supplies,Writing,Pen Pack,1,8.07,3.49,0.0,8.07,3.49,4.58
ORD100051,2025-04-11,2025-04-13,Completed,CUST11548,Consumer,East,China,Beijing,Online,Electronics,Smartphone,Phone A,1,722.9,459.17,0.0,722.9,459.17,263.73
ORD100052,2024-05-19,2024-05-26,Completed,CUST12335,Consumer,North,Canada,Montreal,Online,Electronics,Smartphone,Phone A,3,705.67,437.26,0.0,2117.01,1311.78,805.23
ORD100053,2023-05-11,2023-05-16,Completed,CUST12952,Corporate,East,China,Beijing,Online,Electronics,Laptop,Laptop A,1,1219.85,850.34,0.0,1219.85,850.34,369.51
ORD100054,2024-04-29,2024-05-03,Completed,CUST11092,Corporate,East,Japan,Osaka,Retail,Furniture,Chair,Ergonomic Chair,1,227.86,134.24,0.0,227.86,134.24,93.62
ORD100055,2025-03-29,2025-04-04,Completed,CUST11573,Consumer,South,Australia,Melbourne,Retail,Electronics,Smartphone,Phone B,1,549.36,345.38,0.15,466.96,345.38,121.58
ORD100056,2024-10-08,2024-10-12,Completed,CUST11071,Consumer,East,China,Shenzhen,Online,Office Supplies,Paper,Copy Paper (500),2,29.39,13.87,0.05,55.84,27.74,28.1
ORD100057,2023-01-21,2023-01-22,Completed,CUST11779,Consumer,South,India,Delhi,Retail,Accessories,Phone Case,Case A,1,17.61,10.51,0.0,17.61,10.51,7.1
ORD100058,2025-04-20,2025-04-23,Completed,CUST11631,Consumer,West,Germany,Hamburg,Partner,Office Supplies,Printer,Laser Printer,10,260.55,105.86,0.05,2475.22,1058.6,1416.62
ORD100059,2023-06-16,2023-06-25,Completed,CUST12271,Consumer,North,USA,Los Angeles,Online,Electronics,Smartphone,Phone A,3,704.47,469.43,0.0,2113.41,1408.29,705.12
ORD100060,2023-10-01,2023-10-08,Completed,CUST10190,Consumer,North,USA,Chicago,Retail,Electronics,Smartphone,Phone A,2,801.72,543.42,0.0,1603.44,1086.84,516.6
ORD100061,2024-01-23,2024-01-25,Completed,CUST10523,Consumer,East,Japan,Nagoya,Online,Accessories,Charger,Fast Charger,4,27.72,17.55,0.0,110.88,70.2,40.68
ORD100062,2024-08-23,2024-08-31,Completed,CUST12171,Consumer,Central,Mexico,Guadalajara,Online,Electronics,Audio,Headphones A,2,179.14,116.86,0.0,358.28,233.72,124.56
ORD100063,2023-11-12,2023-11-18,Completed,CUST12083,Consumer,South,Australia,Sydney,Retail,Electronics,Laptop,Laptop B,3,919.81,587.67,0.05,2621.46,1763.01,858.45
ORD100064,2023-01-14,2023-01-23,Completed,CUST12330,Consumer,North,Canada,Toronto,Online,Electronics,Smartphone,Phone A,1,755.6,478.95,0.0,755.6,478.95,276.65
ORD100065,2023-08-30,2023-09-07,Completed,CUST12351,Home Office,South,India,Bengaluru,Partner,Electronics,Laptop,Laptop B,2,1066.07,724.28,0.0,2132.14,1448.56,683.58
ORD100066,2025-02-15,2025-02-22,Completed,CUST12174,Home Office,East,China,Shenzhen,Online,Electronics,Laptop,Laptop A,1,1526.91,1013.37,0.0,1526.91,1013.37,513.54
ORD100067,2023-12-12,2023-12-21,Completed,CUST10211,Home Office,Central,Brazil,Rio de Janeiro,Online,Electronics,Smartphone,Phone B,1,437.04,275.03,0.1,393.34,275.03,118.31
ORD100068,2024-07-18,2024-07-20,Completed,CUST10119,Consumer,North,USA,Los Angeles,Retail,Office Supplies,Writing,Pen Pack,1,8.9,4.06,0.0,8.9,4.06,4.84
ORD100069,2025-06-16,2025-06-23,Completed,CUST12152,Corporate,Central,Mexico,Guadalajara,Partner,Office Supplies,Printer,Laser Printer,2,224.22,104.55,0.0,448.44,209.1,239.34
ORD100070,2023-12-06,2023-12-13,Completed,CUST10653,Consumer,Central,Mexico,Monterrey,Retail,Electronics,Smartphone,Phone A,2,685.17,461.94,0.0,1370.34,923.88,446.46
ORD100071,2023-04-02,2023-04-09,Completed,CUST10183,Consumer,East,China,Shanghai,Online,Furniture,Desk,Standing Desk,2,478.07,262.92,0.1,860.53,525.84,334.69
ORD100072,2024-01-02,2024-01-10,Completed,CUST10176,Consumer,North,USA,Los Angeles,Online,Accessories,Charger,Fast Charger,3,27.1,17.27,0.0,81.3,51.81,29.49
ORD100073,2024-03-30,2024-04-05,Completed,CUST12252,Consumer,East,China,Shanghai,Online,Electronics,Laptop,Laptop B,1,897.42,560.34,0.0,897.42,560.34,337.08
ORD100074,2024-03-03,2024-03-10,Completed,CUST12318,Corporate,West,UK,Birmingham,Retail,Electronics,Audio,Headphones A,1,189.75,123.64,0.0,189.75,123.64,66.11
ORD100075,2024-05-23,2024-05-31,Completed,CUST12486,Consumer,South,Australia,Brisbane,Retail,Office Supplies,Paper,Copy Paper (500),1,26.67,12.56,0.05,25.34,12.56,12.78
ORD100076,2025-02-14,2025-02-23,Completed,CUST10137,Home Office,Central,Mexico,Guadalajara,Online,Electronics,Audio,Headphones A,1,227.54,150.2,0.0,227.54,150.2,77.34
ORD100077,2025-07-31,2025-08-09,Completed,CUST11797,Consumer,North,Canada,Montreal,Online,Electronics,Smartphone,Phone A,2,612.92,400.06,0.0,1225.84,800.12,425.72
ORD100078,2023-02-04,2023-02-06,Completed,CUST12530,Consumer,South,Australia,Sydney,Retail,Furniture,Chair,Ergonomic Chair,3,247.36,130.98,0.0,742.08,392.94,349.14
ORD100079,2023-07-25,2023-07-30,Completed,CUST10530,Consumer,Central,Mexico,Monterrey,Online,Accessories,Charger,Fast Charger,1,29.2,16.39,0.0,29.2,16.39,12.81
ORD100080,2023-03-22,2023-03-31,Completed,CUST10331,Consumer,East,China,Shanghai,Online,Office Supplies,Writing,Pen Pack,4,8.98,3.9,0.0,35.92,15.6,20.32
ORD100081,2025-07-20,2025-07-21,Cancelled,CUST10436,Consumer,East,China,Shanghai,Retail,Electronics,Smartphone,Phone B,4,486.4,334.7,0.0,0.0,1338.8,0.0
ORD100082,2024-07-15,2024-07-19,Returned,CUST12975,Consumer,North,Canada,Montreal,Retail,Furniture,Desk,Standing Desk,1,450.53,239.71,0.0,-450.53,239.71,-210.82
ORD100083,2025-05-21,2025-05-24,Completed,CUST11111,Consumer,Central,Brazil,Rio de Janeiro,Online,Furniture,Chair,Ergonomic Chair,2,206.93,113.82,0.0,413.86,227.64,186.22
ORD100084,2024-01-23,2024-01-30,Completed,CUST10674,Consumer,South,India,Mumbai,Retail,Electronics,Audio,Headphones A,1,205.95,147.19,0.1,185.36,147.19,38.17
ORD100085,2023-01-02,2023-01-08,Completed,CUST10189,Consumer,West,UK,Manchester,Retail,Electronics,Laptop,Laptop B,3,933.59,638.02,0.0,2800.77,1914.06,886.71
ORD100086,2024-01-25,2024-02-02,Completed,CUST10681,Consumer,West,UK,Birmingham,Online,Electronics,Laptop,Laptop B,1,919.64,593.26,0.0,919.64,593.26,326.38
